timestamp,session_id,temp_sensor_1,temp_sensor_2,temp_sensor_3,temp_sensor_4,temp_sensor_5,temp_sensor_6,temp_sensor_7,temp_sensor_8,temp_sensor_9,temp_sensor_10,temp_sensor_11,temp_sensor_12,temp_hotplate1,temp_hotplate2,bmpTemperature_internal,bmpTemperature_external,bmpPressure_internal,bmpPressure_external,dhtTemperature_internal,dhtTemperature_external,dhtHumidity_internal,dhtHumidity_external,target_temp_1,target_temp_2,fan_speed_1,fan_speed_2,fan_speed_3,fan_speed_4,hot_plate_1,hot_plate_2,flow_rate_1,flow_rate_2,flow_rate_3,flow_rate_4,cn2_row1_500,cn2_row1_300,cn2_row2_500,cn2_row2_300,cn2_optical,image_filename
2026-05-18T23:49:56.890471,session_2026-05-18T18-18-57-347Z,23.6875,21.4375,23.0625,22.0,22.5,21.75,20.75,21.75,21.25,22.0,21.5,23.25,94.25,91.75,22.43,-12.83,917.6219,945.1817,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,True,False,0.416938,-0.049852,0.416938,0.099804,5.5326505852416424e-12,1.73430410013614e-12,1.0928692514057564e-12,3.840673439747853e-13,,
2026-05-18T23:49:58.175763,session_2026-05-18T18-18-57-347Z,23.6875,21.5,23.0625,22.0625,22.5,21.75,20.75,21.75,21.25,22.0,21.5,23.25,94.5,92.0,25.0,24.3,944.7075,945.2034,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.536168,-0.088888,0.370158,-0.313841,5.404752401126576e-12,1.587738025962481e-12,1.1294829507660434e-12,3.9693450649062023e-13,,
2026-05-18T23:50:00.604878,session_2026-05-18T18-18-57-347Z,23.75,21.5,23.0625,22.0625,22.5,21.75,20.75,21.75,21.25,22.0,21.5,23.25,94.75,92.25,-146.3,77.49,962.383,945.1855,-273.0,23.2,40.1,36.8,100.0,100.0,255,255,255,255,False,True,0.606833,-0.069285,0.305936,-0.390088,2.964108884293388e-12,8.230539116128944e-13,5.855029894900519e-13,2.057634779032236e-13,,
2026-05-18T23:50:01.891078,session_2026-05-18T18-18-57-347Z,23.75,21.5,23.0625,22.0625,22.5,21.8125,20.75,21.75,21.25,22.0,21.5,23.25,94.75,92.25,-146.29,139.11,1300.938,945.1573,-273.0,23.2,40.1,36.8,100.0,100.0,255,255,255,255,True,True,0.521689,-0.589686,0.338316,0.202749,1.5510624100797394e-12,4.306886263647439e-13,3.458773429884604e-13,1.0767215659118597e-13,,
2026-05-18T23:50:03.176981,session_2026-05-18T18-18-57-347Z,23.75,21.5,23.125,22.0625,22.5,21.8125,20.75,21.75,21.25,22.0,21.5,23.25,94.75,92.5,-146.26,-98.27,1300.96,945.1891,-273.0,23.2,40.1,36.8,100.0,100.0,255,255,255,255,True,False,0.550532,-0.381798,0.370158,0.360733,5.67027389207868e-12,1.7774444831486601e-12,1.2644360762428538e-12,3.936209236038555e-13,,
2026-05-18T23:50:04.593852,session_2026-05-18T18-18-57-347Z,23.8125,21.5,23.125,22.0625,22.5,21.8125,20.75,21.75,21.25,22.0,21.5,23.25,95.0,92.5,-146.3,139.11,1300.938,945.1924,-273.0,23.2,40.1,36.8,100.0,100.0,255,255,255,255,True,True,0.416938,0.007459,0.38588,-0.642738,1.6385510452863443e-12,4.862431950069412e-13,3.45903032934809e-13,1.0768015391157175e-13,,
2026-05-18T23:50:05.880236,session_2026-05-18T18-18-57-347Z,23.8125,21.5,23.125,22.0625,22.5,21.8125,20.75,21.75,21.25,22.0,21.5,23.25,95.25,92.75,22.48,139.11,1300.958,945.1931,-273.0,23.2,40.1,36.8,100.0,100.0,255,255,255,255,False,False,0.521689,-0.049852,0.273008,0.339737,6.196570580962155e-12,1.838844316776542e-12,1.308114607668417e-12,4.0721811859411304e-13,,
2026-05-18T23:50:07.166235,session_2026-05-18T18-18-57-347Z,23.8125,21.5625,23.125,22.0625,22.5,21.8125,20.75,21.75,21.25,22.0,21.5,23.25,95.25,92.75,25.0,24.34,944.6939,945.192,-273.0,23.2,40.1,36.8,100.0,100.0,255,255,255,255,True,True,0.46257,0.117759,0.322193,0.099804,5.7147681811424284e-12,1.7913919802419599e-12,1.2743580280479644e-12,3.967096426833406e-13,,
2026-05-18T23:50:08.592764,session_2026-05-18T18-18-57-347Z,23.8125,21.5625,23.125,22.125,22.75,21.8125,20.75,21.75,21.5,22.0,21.5,23.25,95.5,93.0,-146.26,-116.05,1079.036,945.1672,-273.0,23.2,40.1,36.8,100.0,100.0,255,255,255,255,False,False,0.550532,0.044856,0.289542,0.126488,5.6700111350078965e-12,1.5744107337910475e-12,1.2643774830380263e-12,9.840067086194047e-14,,
2026-05-18T23:50:09.878443,session_2026-05-18T18-18-57-347Z,23.875,21.5625,23.1875,22.125,22.5,21.8125,20.75,21.75,21.5,22.0,21.5,23.25,95.75,93.0,-146.24,-132.8,952.1058,945.1732,-273.0,23.3,40.1,36.8,100.0,100.0,255,255,255,255,False,True,0.492373,-0.069285,0.354302,0.152523,5.989462804703305e-12,1.7773846832005322e-12,1.2643935358358328e-12,9.840192017719208e-14,,
